Altium Designer Pick and Place Locations
D:\Applications\hardware\pca10056\trunk\production_files\400236_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       11.10.19
Time:       12.12
Revision:   16991
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R65","4k7","TopLayer","RESC0603X03L_C","55.7530","39.3700","360","Resistor, ±1%, 0.05W"
"R66","4k7","TopLayer","RESC0603X03L_C","55.7530","40.1320","360","Resistor, ±1%, 0.05W"
"R64","4k7","TopLayer","RESC0603X03L_C","55.7530","38.6080","360","Resistor, ±1%, 0.05W"
"R23","10k","TopLayer","RESC0603X03L_C","55.7530","40.8940","180","Resistor, ±1%, 0.05W"
"Q20","PMCPB5530","TopLayer","DFN65P200X200X80_HS-6N","54.7454","45.4152","180","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"R22","10k","TopLayer","RESC0603X03L_C","52.5356","45.7708","270","Resistor, ±1%, 0.05W"
"C92","1.0µF","TopLayer","CAPC1608X06L","49.6062","40.5384","270","Capacitor, X7R, ±10%"
"U23","TCK106AF","TopLayer","SOT95P280X140-5N","52.4002","42.1894","180","1.0 A Load Switch IC with Slew Rate Control Driver in Small Package"
"R69","866R","TopLayer","RESC0603X03L_C","51.9684","45.7708","90","Resistor, ±1%, 0.05W"
"R99","10k","TopLayer","RESC0603X03L_C","46.7360","39.1750","90","Resistor, ±1%, 0.05W"
"R97","4R7","TopLayer","RESC0603X03L_C","31.7500","39.4208","180","Resistor, ±1%, 0.05W"
"R98","4R7","TopLayer","RESC0603X03L_C","87.7824","14.9606","360","Resistor, ±1%, 0.05W"
"U26","74LVC1G11","TopLayer","SOT65P210X100-6N","21.6662","10.4140","270","Single 3-input AND gate"
"R96","1M0","TopLayer","RESC0603X03L_C","22.5044","12.4206","360","Resistor, ±1%, 0.05W"
"R95","100k","TopLayer","RESC0603X03L_C","19.4310","14.7066","270","Resistor, ±1%, 0.05W"
"Q84","PMCPB5530","TopLayer","DFN65P200X200X80_HS-6N","22.9512","14.3562","270","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"C94","100nF","TopLayer","CAPC0603X03L_C","21.9456","8.4074","180","Capacitor, X5R, ±10%"
"R2","0R","TopLayer","RESC0603X03L_C","103.4034","37.3380","90","Resistor, ±5%, 0.05W"
"R1","0R","TopLayer","RESC0603X03L_C","104.3178","37.3380","90","Resistor, ±5%, 0.05W"
"C52","N.C.","TopLayer","CAPC0603X03L_C","103.4034","38.5826","90","Not mounted"
"C51","N.C.","TopLayer","CAPC0603X03L_C","104.3178","38.5826","270","Not mounted"
"R49","10k","TopLayer","RESC0603X03L_C","75.0316","13.0810","180","Resistor, ±1%, 0.05W"
"C15","1.0µF","TopLayer","CAPC1608X06L","112.8136","43.4814","180","Capacitor, X7R, ±10%"
"L3","15nH","TopLayer","INDC1005X04L","111.3886","44.9924","180","Inductor, 320mA, ±5%"
"L2","10µH","TopLayer","INDC1608X06L","110.9136","43.2674","270","Inductor, 250mA, ±20%, 1.05ohm. -55°C ~ 125°C"
"C16","47nF","TopLayer","CAPC1005X04L","112.8014","42.4434","0","Capacitor, X7R, ±10%"
"R53","4k7","TopLayer","RESC0603X03L_C","80.4164","21.7424","360","Resistor, ±1%, 0.05W"
"R52","4k7","TopLayer","RESC0603X03L_C","82.9056","21.7424","180","Resistor, ±1%, 0.05W"
"U24","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","27.4828","30.3530","270","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U22","TCK106AF","TopLayer","SOT95P280X140-5N","84.3026","12.5476","270","1.0 A Load Switch IC with Slew Rate Control Driver in Small Package"
"C91","1.0µF","TopLayer","CAPC1608X06L","85.5980","9.3980","180","Capacitor, X7R, ±10%"
"C69","100nF","TopLayer","CAPC0603X03L_C","5.5778","38.6004","180","Capacitor, X5R, ±10%"
"C68","100nF","TopLayer","CAPC0603X03L_C","83.2231","7.6835","90","Capacitor, X5R, ±10%"
"LED4","L0603G","TopLayer","LED_0603_G","117.6230","50.1073","360","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED3","L0603G","TopLayer","LED_0603_G","111.2730","50.1073","360","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED2","L0603G","TopLayer","LED_0603_G","117.6230","53.9173","360","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED1","L0603G","TopLayer","LED_0603_G","111.2730","53.9173","360","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"P28","Pin List 1x3","TopLayer","LIST_1x3-NC","30.4800","25.4000","90","Pin List 1x3, 2.54mm (100mil)"
"P26","Socket 1x13","BottomLayer","LIST_1x13_SMD-NC","34.0360","45.7200","360","Socket 1x13, 2.54mm (100mil), SMD"
"D81","NSR0620P2T5G","TopLayer","SODFL100X40-2N","25.4254","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"D80","NSR0620P2T5G","TopLayer","SODFL100X40-2N","23.7998","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"Q80","FCX690BTA","TopLayer","SOT89-150P409X160-3N","24.5640","21.3360","360","45V NPN high gain power transistor"
"U11","XC9236","TopLayer","USP-6C","20.7264","20.2434","360","600mA Driver Transistor Built-In, Synchronous Step-Down DC/DC Converters"
"U4","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","107.7436","52.6764","180","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"R84","120k","TopLayer","RESC0603X03L_C","20.2946","18.0848","180","Resistor, ±1%, 0.05W"
"R82","330k","TopLayer","RESC0603X03L_C","19.0500","18.0848","180","Resistor, ±1%, 0.05W"
"R91","N.C.","TopLayer","RESC1005X04L","16.3320","51.1302","90","Not mounted"
"Q81","TSM250N02DCQ RFG","TopLayer","DFN65P200X200X80_HS-6N","13.9192","12.6238","360","Dual N Ch MOFET, 5.8A, 55mOhm max, 620mW"
"P23","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.5628","51.2000","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"L81","4.7µH","TopLayer","TY-NR3015","17.3990","20.2692","270","Ferrite Inductor, Shielded, 1,04A, 144mOhm"
"D83","NSR0620P2T5G","TopLayer","SODFL100X40-2N","24.6126","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"D82","NSR0620P2T5G","TopLayer","SODFL100X40-2N","22.9870","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"C86","4.7µF","TopLayer","CAPC2012X11L","21.1074","22.7838","360","Capacitor, X5R, ±10%"
"C88","10µF","TopLayer","CAPC1608X06L","16.8148","17.9578","360","Capacitor, X5R, ±20%, 25V"
"C87","150pF","TopLayer","CAPC0603X03L_C","19.0754","17.5260","180","Chip Cap 0201"
